iter	MultiClass
0	1.049514919
1	1.009202579
2	0.9741708418
3	0.941276032
4	0.9139583806
5	0.8888539895
6	0.8693627062
7	0.8518174996
8	0.8336109728
9	0.8211577713
10	0.8083417919
11	0.7943712176
12	0.7869604467
13	0.7755738412
14	0.7645611654
15	0.7569431237
16	0.7456928418
17	0.7371009153
18	0.7277996545
19	0.7205048775
20	0.7132292029
21	0.7041964446
22	0.6978850789
23	0.6879154011
24	0.681000139
25	0.6737309872
26	0.6644411678
27	0.6584031741
28	0.6531695571
29	0.6467178344
30	0.6404045296
31	0.634776267
32	0.6286147962
33	0.6225874575
34	0.6193589356
35	0.6115322435
36	0.6046646803
37	0.5991630513
38	0.5920195209
39	0.5878145987
40	0.5845013962
41	0.5782982076
42	0.5713115978
43	0.5663106947
44	0.5606619161
45	0.5548480627
46	0.5507435653
47	0.5439546464
48	0.5385354134
49	0.5331758635
50	0.5264177716
51	0.5219830604
52	0.5198172843
53	0.5165304188
54	0.5102458732
55	0.5040102365
56	0.4990034653
57	0.4941496315
58	0.4903812597
59	0.4875422746
60	0.4819382775
61	0.4752718323
62	0.4670138316
63	0.4635850195
64	0.4601772623
65	0.4566241532
66	0.4550044428
67	0.4515197907
68	0.4481092297
69	0.4422209789
70	0.4381243426
71	0.4330189085
72	0.4299665628
73	0.4272100627
74	0.4227953135
75	0.4159409588
76	0.4118976006
77	0.4079073609
78	0.4057939242
79	0.4025100892
80	0.3993805288
81	0.3959310488
82	0.3920175056
83	0.3886065924
84	0.3862378731
85	0.3838128634
86	0.3790225539
87	0.3757492381
88	0.3728811635
89	0.3686329749
90	0.3669232231
91	0.3634173124
92	0.3600140575
93	0.356693968
94	0.3548826567
95	0.3518963219
96	0.349664224
97	0.3471578664
98	0.3444731022
99	0.3429364972
