Hisse,Tahmin Edilen Sektör
0,H
1,F
2,H
3,F
4,T
5,H
6,F
7,F
8,F
9,H
10,F
11,T
12,H
13,F
14,F
15,H
16,H
17,F
18,F
19,H
20,F
21,H
22,H
23,T
24,F
25,F
26,F
27,F
28,F
29,H
30,F
31,F
32,H
33,F
34,H
35,F
36,H
37,H
38,T
39,F
40,H
41,T
42,F
43,T
44,F
45,F
46,F
47,H
48,H
49,H
50,H
51,H
52,F
53,F
54,F
55,F
56,H
57,F
58,F
59,F
60,F
61,F
62,T
63,F
64,H
65,H
66,F
67,H
68,F
69,T
70,F
71,H
72,H
73,F
74,F
75,F
76,F
77,T
78,H
79,F
80,H
81,H
82,F
83,F
84,H
85,H
86,F
87,H
88,H
89,F
90,F
91,H
92,H
93,T
94,T
95,T
96,F
97,H
98,H
99,H
100,F
101,F
102,F
103,F
104,H
105,F
106,H
107,F
108,F
109,H
110,H
111,T
112,H
113,F
114,F
115,F
116,F
117,F
118,H
119,H
120,H
121,F
122,F
123,F
124,F
125,F
126,H
127,F
128,F
129,T
130,H
131,H
132,H
133,F
134,F
135,F
136,H
137,H
138,H
139,F
140,H
141,H
142,F
143,H
144,F
145,H
146,T
147,F
148,T
149,F
150,F
151,H
152,H
153,H
154,T
155,F
156,F
157,H
158,F
159,F
160,H
161,H
162,H
163,F
164,F
165,F
166,H
167,H
168,T
169,H
170,H
171,F
172,T
173,F
174,F
175,F
176,F
177,H
178,F
179,F
180,F
181,F
182,T
183,T
184,H
185,F
186,F
187,F
188,F
189,H
190,F
191,F
192,F
193,H
194,F
195,F
196,H
197,F
198,F
199,H
