Symbol,Company Name,Market Cap,% Change,Volume,Revenue
AMZN,"Amazon.com, Inc.","2,545.26B",1.95%,28587993,620.13B
TSLA,"Tesla, Inc.","1,261.55B",2.22%,56316149,97.69B
HD,"The Home Depot, Inc.",408.76B,0.67%,1415236,154.60B
TM,Toyota Motor Corporation,251.05B,2.13%,372417,323.85B
BABA,Alibaba Group Holding Limited,231.34B,3.79%,27918678,137.14B
MCD,McDonald's Corporation,207.65B,-0.10%,2301212,25.94B
PDD,PDD Holdings Inc.,158.39B,8.37%,12513279,53.05B
BKNG,Booking Holdings Inc.,154.86B,-0.30%,259949,23.05B
LOW,"Lowe's Companies, Inc.",145.24B,0.28%,1189514,83.72B
TJX,"The TJX Companies, Inc.",140.68B,0.67%,5181625,56.42B
SBUX,Starbucks Corporation,125.63B,2.26%,10139498,36.15B
NKE,"NIKE, Inc.",113.48B,0.17%,8687290,48.98B
MELI,"MercadoLibre, Inc.",99.69B,3.01%,365368,18.49B
RACE,Ferrari N.V.,82.16B,7.08%,938786,6.91B
ABNB,"Airbnb, Inc.",81.68B,0.74%,2664901,10.84B
MAR,"Marriott International, Inc.",80.80B,0.10%,1249650,6.57B
CMG,"Chipotle Mexican Grill, Inc.",80.19B,1.13%,15371527,11.31B
ORLY,"O'Reilly Automotive, Inc.",77.02B,1.38%,353997,16.44B
RCL,Royal Caribbean Cruises Ltd.,70.88B,1.05%,1226914,16.48B
SE,Sea Limited,70.73B,1.03%,3938511,15.49B
HLT,Hilton Worldwide Holdings Inc.,63.08B,0.96%,968904,4.70B
JD,"JD.com, Inc.",59.66B,2.82%,10485137,159.37B
AZO,"AutoZone, Inc.",58.05B,0.78%,109836,18.58B
CVNA,Carvana Co.,54.41B,2.39%,1972048,12.55B
LULU,Lululemon Athletica Inc.,50.49B,1.37%,1087971,10.18B
ROST,"Ross Stores, Inc.",48.48B,-0.08%,1820174,21.24B
GM,General Motors Company,48.33B,1.40%,8068435,187.44B
FLUT,Flutter Entertainment plc,46.89B,-0.03%,1416012,13.57B
TCOM,Trip.com Group Limited,46.40B,-1.06%,1866263,7.25B
HMC,"Honda Motor Co., Ltd.",45.02B,2.38%,2805194,150.89B
DHI,"D.R. Horton, Inc.",44.04B,1.67%,2078933,36.69B
CPNG,"Coupang, Inc.",42.65B,0.55%,3055702,28.86B
F,Ford Motor Company,40.38B,2.73%,64427595,182.74B
YUM,"Yum! Brands, Inc.",36.69B,-0.02%,2086753,7.22B
STLA,Stellantis N.V.,35.87B,4.12%,8630140,188.78B
CCL,Carnival Corporation & plc,35.52B,0.15%,11765244,25.02B
