Symbol,Company Name,Market Cap,% Change,Volume,Revenue
BRK.B,Berkshire Hathaway Inc.,"1,008.62B",0.62%,1962295,369.89B
JPM,JPMorgan Chase & Co.,749.59B,0.42%,4100124,166.88B
V,Visa Inc.,674.28B,-0.19%,5528585,36.80B
MA,Mastercard Incorporated,511.06B,-0.86%,2212342,28.17B
BAC,Bank of America Corporation,355.50B,1.08%,23698116,96.07B
WFC,Wells Fargo & Company,261.37B,1.70%,14663077,77.96B
AXP,American Express Company,221.71B,-0.22%,1372422,60.76B
MS,Morgan Stanley,219.79B,-0.28%,4996375,61.50B
GS,"The Goldman Sachs Group, Inc.",214.48B,0.29%,1429857,52.16B
BX,Blackstone Inc.,208.61B,-1.56%,2871912,12.66B
HSBC,HSBC Holdings plc,181.91B,1.21%,961719,57.97B
RY,Royal Bank of Canada,167.94B,-0.10%,925731,38.83B
SPGI,S&P Global Inc.,159.23B,-0.90%,1232654,13.77B
BLK,"BlackRock, Inc.",157.30B,0.19%,767445,20.41B
HDB,HDFC Bank Limited,152.69B,2.05%,1527312,31.58B
SCHW,The Charles Schwab Corporation,149.74B,-1.15%,5222121,19.61B
C,Citigroup Inc.,147.31B,-1.42%,9791535,71.36B
PGR,The Progressive Corporation,145.28B,-0.37%,1311215,75.34B
MUFG,"Mitsubishi UFJ Financial Group, Inc.",144.85B,-,3143206,39.43B
KKR,KKR & Co. Inc.,132.61B,-8.53%,8972316,26.57B
MMC,"Marsh & McLennan Companies, Inc.",109.53B,1.72%,4298019,24.46B
CB,Chubb Limited,109.08B,-0.62%,1036249,56.72B
UBS,UBS Group AG,103.62B,-7.24%,6581113,48.06B
IBN,ICICI Bank Limited,102.82B,1.28%,2269018,20.51B
TD,The Toronto-Dominion Bank,100.24B,1.36%,1561470,38.21B
SMFG,"Sumitomo Mitsui Financial Group, Inc.",95.01B,-0.07%,1786616,27.00B
APO,"Apollo Global Management, Inc.",92.00B,-2.71%,5538330,25.89B
ICE,"Intercontinental Exchange, Inc.",91.48B,-0.67%,1503198,9.16B
MCO,Moody's Corporation,89.37B,-0.67%,312520,6.90B
