Symbol,Company Name,Market Cap,% Change,Volume,Revenue
LLY,Eli Lilly and Company,743.82B,1.93%,2989835,40.86B
UNH,UnitedHealth Group Incorporated,501.97B,-0.50%,1893414,400.28B
JNJ,Johnson & Johnson,369.55B,1.07%,7678236,88.82B
NVO,Novo Nordisk A/S,365.99B,-0.04%,9107072,40.31B
ABBV,AbbVie Inc.,335.67B,-0.10%,5851450,56.33B
MRK,"Merck & Co., Inc.",229.54B,-9.07%,46209410,64.17B
ABT,Abbott Laboratories,223.92B,0.51%,5256418,41.95B
TMO,Thermo Fisher Scientific Inc.,222.07B,-2.22%,2097323,42.88B
AZN,AstraZeneca PLC,213.51B,-1.29%,4939940,51.21B
NVS,Novartis AG,208.52B,-0.01%,1927008,51.72B
ISRG,"Intuitive Surgical, Inc.",206.74B,0.19%,1367730,8.35B
AMGN,Amgen Inc.,155.20B,0.05%,3208589,33.42B
DHR,Danaher Corporation,154.61B,0.35%,6716703,23.88B
BSX,Boston Scientific Corporation,152.60B,0.46%,8068781,15.91B
SYK,Stryker Corporation,149.59B,0.32%,1121512,22.60B
PFE,Pfizer Inc.,146.61B,-1.26%,63195108,63.63B
SNY,Sanofi,132.94B,0.28%,1713855,45.85B
VRTX,Vertex Pharmaceuticals Incorporated,124.20B,2.53%,1950104,10.63B
GILD,"Gilead Sciences, Inc.",122.12B,-0.40%,6146423,28.30B
BMY,Bristol-Myers Squibb Company,119.91B,-1.38%,11712542,47.44B
MDT,Medtronic plc,116.65B,0.49%,3623263,33.00B
ELV,"Elevance Health, Inc.",93.23B,-0.77%,944364,176.81B
HCA,"HCA Healthcare, Inc.",84.80B,0.15%,901340,70.60B
CI,The Cigna Group,81.07B,-0.34%,1575738,247.12B
ZTS,Zoetis Inc.,77.71B,0.17%,1851938,9.15B
MCK,McKesson Corporation,76.59B,0.58%,595658,330.19B
REGN,"Regeneron Pharmaceuticals, Inc.",75.00B,4.53%,1623053,14.20B
CVS,CVS Health Corporation,70.91B,0.71%,5192681,367.25B
GSK,GSK plc,70.31B,-0.17%,7117681,39.28B
BDX,"Becton, Dickinson and Company",70.30B,-2.10%,2983394,20.18B
COR,"Cencora, Inc.",48.77B,-1.12%,1434731,303.19B
ALC,Alcon Inc.,45.23B,1.29%,1174232,9.76B
HLN,Haleon plc,42.20B,0.42%,13031807,15.07B
EW,Edwards Lifesciences Corporation,42.07B,-0.07%,2078554,6.31B
TAK,Takeda Pharmaceutical Company Limited,42.00B,0.53%,2100385,29.12B
A,"Agilent Technologies, Inc.",41.95B,-1.07%,1045257,6.51B
ARGX,argenx SE,39.81B,-0.95%,245425,1.91B
GEHC,GE HealthCare Technologies Inc.,39.72B,-0.66%,2483046,19.56B
IDXX,"IDEXX Laboratories, Inc.",38.08B,-0.85%,816757,3.90B
VEEV,Veeva Systems Inc.,37.89B,0.04%,926648,2.66B
IQV,IQVIA Holdings Inc.,36.31B,0.47%,1193502,15.32B
HUM,Humana Inc.,35.59B,0.86%,1457162,115.01B
RMD,ResMed Inc.,35.32B,-0.04%,810050,4.93B
ALNY,"Alnylam Pharmaceuticals, Inc.",34.95B,-1.29%,720228,2.09B
DXCM,"DexCom, Inc.",34.16B,0.47%,2029868,3.95B
CNC,Centene Corporation,30.94B,-5.45%,8469755,147.29B
CAH,"Cardinal Health, Inc.",30.24B,-0.13%,2588519,222.28B
MTD,Mettler-Toledo International Inc.,28.27B,-0.20%,80773,3.76B
BNTX,BioNTech SE,28.08B,-2.24%,1002692,3.39B
PHG,Koninklijke Philips N.V.,25.14B,0.45%,664892,20.12B
WAT,Waters Corporation,24.37B,-0.19%,248215,2.91B
WST,"West Pharmaceutical Services, Inc.",23.97B,-1.78%,498761,2.88B
ONC,"BeiGene, Ltd.",23.76B,-0.21%,374616,3.35B
NTRA,"Natera, Inc.",23.00B,-1.31%,1122425,1.53B
STE,STERIS plc,21.66B,0.49%,438147,5.33B
ZBH,"Zimmer Biomet Holdings, Inc.",21.46B,-0.33%,896964,7.60B
BIIB,Biogen Inc.,20.76B,0.11%,1039997,9.61B
LH,Labcorp Holdings Inc.,20.63B,-0.48%,715438,12.71B
ILMN,"Illumina, Inc.",19.70B,-5.26%,4430882,4.39B
PODD,Insulet Corporation,19.53B,-0.15%,299579,1.98B
TEVA,Teva Pharmaceutical Industries Limited,19.36B,-1.67%,15017337,16.54B
COO,"The Cooper Companies, Inc.",19.02B,-0.04%,754601,3.90B
RPRX,Royalty Pharma plc,18.42B,-0.22%,3384292,2.27B
DGX,Quest Diagnostics Incorporated,18.13B,0.55%,699759,9.87B
MOH,"Molina Healthcare, Inc.",18.04B,-3.06%,695145,37.54B
HOLX,"Hologic, Inc.",16.16B,-0.20%,1352132,4.03B
BAX,Baxter International Inc.,16.04B,-0.70%,4198158,15.06B
ALGN,"Align Technology, Inc.",16.03B,-0.50%,861946,3.96B
ICLR,ICON Public Limited Company,15.96B,-1.15%,726073,8.31B
UTHR,United Therapeutics Corporation,15.78B,-0.32%,300511,2.76B
NBIX,"Neurocrine Biosciences, Inc.",15.43B,1.55%,760053,2.24B
SMMT,Summit Therapeutics Inc.,15.21B,3.20%,1746439,-
RVTY,"Revvity, Inc.",14.99B,-0.43%,839046,2.76B
AVTR,"Avantor, Inc.",14.98B,0.64%,4083490,6.82B
DVA,DaVita Inc.,14.54B,0.16%,382705,12.67B
INSM,Insmed Incorporated,14.49B,4.02%,1511640,342.96M
FMS,Fresenius Medical Care AG,14.36B,0.66%,163433,21.46B
INCY,Incyte Corporation,14.28B,0.52%,1213587,4.08B
THC,Tenet Healthcare Corporation,13.67B,-0.64%,748526,20.97B
ITCI,"Intra-Cellular Therapies, Inc.",13.48B,-0.23%,3150438,613.73M
MRNA,"Moderna, Inc.",13.15B,-6.51%,22723871,5.08B
VTRS,Viatris Inc.,13.00B,-1.36%,8143239,15.05B
SOLV,Solventum Corporation,12.89B,1.40%,521129,8.22B
UHS,"Universal Health Services, Inc.",12.71B,1.01%,308904,15.42B
GMED,"Globus Medical, Inc.",12.55B,-0.44%,718454,2.48B
GMAB,Genmab A/S,12.27B,0.52%,1060341,2.97B
BMRN,BioMarin Pharmaceutical Inc.,11.98B,0.69%,1050645,2.75B
RDY,Dr. Reddy's Laboratories Limited,11.75B,1.69%,1307779,3.64B
TECH,Bio-Techne Corporation,11.53B,0.69%,2037636,1.20B
SNN,Smith & Nephew plc,11.28B,1.46%,450228,5.64B
DOCS,"Doximity, Inc.",10.97B,-0.59%,2511486,516.85M
SRPT,"Sarepta Therapeutics, Inc.",10.90B,0.24%,524911,1.64B
PCVX,"Vaxcyte, Inc.",10.78B,2.01%,1747201,-
MEDP,"Medpace Holdings, Inc.",10.76B,1.05%,199902,2.07B
ATR,"AptarGroup, Inc.",10.49B,1.10%,302353,3.57B
EHC,Encompass Health Corporation,10.19B,0.58%,626658,5.22B
EXAS,Exact Sciences Corporation,10.13B,-0.89%,1354990,2.69B
PEN,"Penumbra, Inc.",10.06B,-1.09%,886016,1.16B
HSIC,"Henry Schein, Inc.",10.05B,1.27%,1400564,12.50B
BIO.B,"Bio-Rad Laboratories, Inc.",9.75B,-,-,2.58B
TEM,"Tempus AI, Inc.",9.74B,0.50%,15442406,640.44M
HQY,"HealthEquity, Inc.",9.70B,1.50%,845251,1.15B
BIO,"Bio-Rad Laboratories, Inc.",9.69B,-2.01%,174232,2.58B
EXEL,"Exelixis, Inc.",9.46B,0.73%,1481867,2.08B
MASI,Masimo Corporation,9.41B,2.07%,278337,2.04B
QGEN,Qiagen N.V.,9.37B,-1.09%,1015065,1.97B
RGEN,Repligen Corporation,8.97B,0.09%,434270,633.51M
BRKR,Bruker Corporation,8.55B,-0.56%,807677,3.24B
WBA,"Walgreens Boots Alliance, Inc.",8.55B,1.33%,23479406,150.41B
GKOS,Glaukos Corporation,8.50B,-1.13%,328892,360.35M
CRL,"Charles River Laboratories International, Inc.",8.34B,0.93%,1353479,4.06B
CHE,Chemed Corporation,8.32B,0.44%,45910,2.38B
ENSG,"The Ensign Group, Inc.",8.27B,2.07%,418043,4.11B
TFX,Teleflex Incorporated,8.12B,-0.11%,339247,3.03B
