Symbol,Company Name,Market Cap,% Change,Volume,Revenue
GE,General Electric Company,217.00B,-0.95%,4321561,38.70B
CAT,Caterpillar Inc.,174.75B,0.11%,2707179,64.81B
RTX,RTX Corporation,171.00B,-1.19%,3091992,80.74B
UNP,Union Pacific Corporation,147.62B,0.20%,2300675,24.25B
HON,Honeywell International Inc.,145.36B,0.51%,3429781,37.85B
BA,The Boeing Company,132.19B,0.20%,4009195,66.52B
DE,Deere & Company,128.62B,1.12%,1044491,51.53B
ETN,Eaton Corporation plc,124.37B,-0.23%,1931258,24.88B
LMT,Lockheed Martin Corporation,106.79B,-0.38%,1048999,71.04B
UPS,"United Parcel Service, Inc.",95.38B,0.43%,9333163,91.07B
RELX,RELX PLC,92.53B,0.02%,371547,11.76B
WM,"Waste Management, Inc.",89.16B,-0.71%,1565112,22.06B
PH,Parker-Hannifin Corporation,88.81B,-0.87%,446504,19.91B
MMM,3M Company,81.83B,1.09%,2522538,24.58B
CTAS,Cintas Corporation,80.95B,-0.79%,1447695,9.94B
TT,Trane Technologies plc,79.99B,-1.40%,1095406,19.84B
TRI,Thomson Reuters Corporation,75.59B,-0.66%,389848,7.16B
ITW,Illinois Tool Works Inc.,75.21B,-0.30%,1331586,15.95B
TDG,TransDigm Group Incorporated,73.28B,-3.34%,423611,8.16B
EMR,Emerson Electric Co.,72.72B,-0.13%,2370849,17.55B
CP,Canadian Pacific Kansas City Limited,71.91B,3.17%,3252925,10.11B
NOC,Northrop Grumman Corporation,69.83B,-1.10%,422513,41.03B
GD,General Dynamics Corporation,69.48B,0.33%,1059373,47.72B
RSG,"Republic Services, Inc.",68.66B,-0.82%,524687,15.82B
CNI,Canadian National Railway Company,63.92B,3.03%,1752022,11.85B
CSX,CSX Corporation,63.39B,1.11%,12180545,14.54B
FDX,FedEx Corporation,60.44B,1.46%,1736364,87.39B
CARR,Carrier Global Corporation,57.31B,1.16%,3855241,24.80B
NSC,Norfolk Southern Corporation,57.24B,1.04%,687772,12.12B
PCAR,PACCAR Inc,56.89B,-0.60%,2136834,33.66B
CPRT,"Copart, Inc.",55.75B,0.17%,2886846,4.36B
JCI,Johnson Controls International plc,51.02B,0.38%,3335869,23.17B
HWM,Howmet Aerospace Inc.,50.98B,-0.71%,1850057,7.27B
GWW,"W.W. Grainger, Inc.",50.77B,-0.40%,236620,17.17B
AXON,"Axon Enterprise, Inc.",50.55B,0.73%,494217,1.94B
CMI,Cummins Inc.,49.87B,4.39%,1646976,34.10B
URI,"United Rentals, Inc.",49.21B,2.07%,485660,15.35B
WCN,"Waste Connections, Inc.",48.41B,0.14%,797417,8.69B
