Symbol,Company Name,Market Cap,% Change,Volume,Revenue
PLD,"Prologis, Inc.",111.45B,0.40%,2273332,8.56B
EQIX,"Equinix, Inc.",89.18B,1.01%,304114,8.15B
WELL,Welltower Inc.,86.47B,-1.08%,2581981,7.56B
AMT,American Tower Corporation,86.04B,-0.67%,1450107,11.17B
SPG,"Simon Property Group, Inc.",65.36B,-0.03%,1039780,5.96B
DLR,"Digital Realty Trust, Inc.",55.23B,1.18%,1714386,5.37B
PSA,Public Storage,52.11B,0.28%,365596,4.70B
O,Realty Income Corporation,47.43B,-0.84%,2822878,5.01B
CBRE,"CBRE Group, Inc.",43.28B,0.91%,910838,34.31B
CCI,Crown Castle Inc.,38.48B,-0.87%,1732340,6.59B
EXR,Extra Space Storage Inc.,33.42B,-0.48%,1153393,3.31B
CSGP,"CoStar Group, Inc.",31.76B,0.86%,2806869,2.67B
VICI,VICI Properties Inc.,31.41B,0.03%,3918366,3.81B
AVB,"AvalonBay Communities, Inc.",31.36B,0.20%,678278,2.93B
IRM,Iron Mountain Incorporated,29.72B,0.63%,1428220,5.99B
EQR,Equity Residential,27.61B,0.41%,2609768,2.98B
VTR,"Ventas, Inc.",25.46B,-1.91%,1558892,4.80B
WY,Weyerhaeuser Company,21.88B,-1.98%,2355824,7.12B
SBAC,SBA Communications Corporation,21.24B,-0.10%,675981,2.66B
BEKE,KE Holdings Inc.,20.81B,5.33%,6066953,11.77B
INVH,Invitation Homes Inc.,19.24B,0.81%,1808630,2.55B
ESS,"Essex Property Trust, Inc.",19.12B,0.97%,449230,1.75B
MAA,"Mid-America Apartment Communities, Inc.",18.55B,1.40%,871877,2.18B
SUI,"Sun Communities, Inc.",16.49B,-0.02%,489990,3.19B
ARE,"Alexandria Real Estate Equities, Inc.",16.35B,-0.12%,756472,3.12B
UDR,"UDR, Inc.",15.54B,-0.07%,1396657,1.68B
KIM,Kimco Realty Corporation,14.94B,-0.41%,3361655,1.96B
LINE,"Lineage, Inc.",14.77B,0.81%,560391,5.33B
AMH,American Homes 4 Rent,14.63B,0.67%,1005294,1.70B
DOC,"Healthpeak Properties, Inc.",14.31B,-1.57%,7580012,2.70B
GLPI,"Gaming and Leisure Properties, Inc.",13.72B,0.29%,853778,1.51B
JLL,Jones Lang LaSalle Incorporated,13.21B,0.57%,214632,22.50B
REG,Regency Centers Corporation,13.07B,-0.11%,600106,1.49B
ELS,"Equity LifeStyle Properties, Inc.",13.00B,-0.49%,1020182,1.53B
LAMR,Lamar Advertising Company,12.80B,0.08%,257257,2.19B
BXP,"BXP, Inc.",12.74B,0.82%,959635,3.05B
CPT,Camden Property Trust,12.37B,0.67%,886589,1.56B
WPC,W. P. Carey Inc.,12.07B,-0.47%,666318,1.59B
NLY,"Annaly Capital Management, Inc.",11.86B,1.43%,3611447,1.25B
HST,"Host Hotels & Resorts, Inc.",11.46B,-0.61%,4073247,5.59B
OHI,"Omega Healthcare Investors, Inc.",10.44B,-0.74%,1379976,1.01B
MRNO,Murano Global Investments Plc,9.40B,2.76%,1030,27.95M
CUBE,CubeSmart,9.39B,-0.48%,1057500,1.07B
REXR,"Rexford Industrial Realty, Inc.",9.39B,1.75%,1846694,903.94M
FRT,Federal Realty Investment Trust,9.25B,-0.09%,485263,1.19B
AGNC,AGNC Investment Corp.,9.04B,1.21%,20509355,973.00M
VNO,Vornado Realty Trust,8.77B,0.24%,540401,1.87B
EGP,"EastGroup Properties, Inc.",8.47B,1.54%,379918,627.82M
FSV,FirstService Corporation,8.24B,0.69%,121523,4.93B
BRX,Brixmor Property Group Inc.,7.74B,-0.74%,1469178,1.27B
ADC,Agree Realty Corporation,7.51B,-0.62%,329569,600.53M
FR,"First Industrial Realty Trust, Inc.",7.31B,1.13%,1450645,655.53M
NNN,"NNN REIT, Inc.",7.30B,-0.56%,499047,867.02M
CIGI,Colliers International Group Inc.,7.25B,2.88%,113764,4.56B
TRNO,Terreno Realty Corporation,6.58B,1.13%,945963,365.40M
STWD,"Starwood Property Trust, Inc.",6.56B,1.25%,2105068,436.46M
STAG,"STAG Industrial, Inc.",6.31B,1.60%,876369,751.37M
RHP,"Ryman Hospitality Properties, Inc.",6.20B,0.28%,229305,2.34B
COLD,"Americold Realty Trust, Inc.",6.15B,0.79%,858293,2.68B
RITM,Rithm Capital Corp.,5.96B,1.15%,2871775,3.01B
HR,Healthcare Realty Trust Incorporated,5.87B,-0.85%,1766378,1.29B
EPRT,"Essential Properties Realty Trust, Inc.",5.55B,-0.82%,429516,428.54M
MAC,The Macerich Company,5.18B,-0.78%,1098133,788.29M
KRG,Kite Realty Group Trust,5.10B,-0.18%,1074612,827.40M
CUZ,Cousins Properties Incorporated,5.03B,-0.40%,836828,827.91M
SLG,SL Green Realty Corp.,4.96B,-0.30%,343528,969.77M
PECO,"Phillips Edison & Company, Inc.",4.95B,0.39%,391173,642.79M
CTRE,"CareTrust REIT, Inc.",4.94B,-1.50%,1272368,269.08M
NSA,National Storage Affiliates Trust,4.72B,-1.08%,345104,786.92M
IRT,"Independence Realty Trust, Inc.",4.47B,0.83%,848313,641.63M
AHR,"American Healthcare REIT, Inc.",4.46B,-0.83%,969048,2.01B
KRC,Kilroy Realty Corporation,4.43B,-1.04%,1532229,1.12B
COMP,"Compass, Inc.",4.01B,1.26%,6010762,5.35B
SBRA,"Sabra Health Care REIT, Inc.",3.96B,-1.12%,1299197,682.32M
RYN,Rayonier Inc.,3.87B,-0.93%,638955,1.00B
SKT,Tanger Inc.,3.85B,1.12%,686345,522.82M
HHH,Howard Hughes Holdings Inc.,3.77B,0.54%,148338,1.20B
APLE,"Apple Hospitality REIT, Inc.",3.69B,0.33%,914685,1.41B
DEI,"Douglas Emmett, Inc.",3.60B,-0.83%,1394013,986.48M
EPR,EPR Properties,3.54B,1.39%,670350,681.72M
PCH,PotlatchDeltic Corporation,3.43B,-2.09%,313324,1.06B
NMRK,"Newmark Group, Inc.",3.37B,0.58%,447579,2.61B
CDP,COPT Defense Properties,3.36B,0.62%,883191,749.50M
HASI,"HA Sustainable Infrastructure Capital, Inc.",3.31B,0.22%,747087,139.08M
BXMT,"Blackstone Mortgage Trust, Inc.",3.23B,3.12%,1060921,-102.52M
HIW,"Highwoods Properties, Inc.",3.15B,-0.92%,838410,829.29M
NHI,"National Health Investors, Inc.",3.09B,-0.93%,73802,329.85M
CWK,Cushman & Wakefield plc,3.09B,2.13%,2540020,9.37B
BNL,"Broadstone Net Lease, Inc.",3.08B,-0.26%,478607,424.67M
OUT,OUTFRONT Media Inc.,3.06B,1.15%,2613919,1.84B
MPW,"Medical Properties Trust, Inc.",2.86B,-0.63%,10518863,660.17M
ABR,"Arbor Realty Trust, Inc.",2.81B,1.70%,1643920,650.35M
JOE,The St. Joe Company,2.79B,0.19%,169231,385.14M
AKR,Acadia Realty Trust,2.77B,-0.26%,356477,367.40M
PK,Park Hotels & Resorts Inc.,2.70B,-,2392140,2.66B
FCPT,"Four Corners Property Trust, Inc.",2.68B,-0.61%,336489,264.88M
UE,Urban Edge Properties,2.63B,-0.94%,326130,435.18M
ESRT,"Empire State Realty Trust, Inc.",2.62B,0.42%,1113213,758.43M
ESBA,"Empire State Realty OP, L.P.",2.59B,3.73%,22290,758.43M
CURB,Curbline Properties Corp.,2.58B,-0.20%,186647,111.43M
LXP,LXP Industrial Trust,2.45B,1.09%,1371095,340.56M
CCS,"Century Communities, Inc.",2.36B,2.29%,653160,4.40B
