Symbol,Company Name,Market Cap,% Change,Volume,Revenue
NEE,"NextEra Energy, Inc.",143.46B,-1.62%,10542001,24.75B
GEV,GE Vernova Inc.,98.28B,-1.43%,2502320,34.94B
CEG,Constellation Energy Corporation,95.83B,0.01%,2943742,23.98B
SO,The Southern Company,91.16B,-0.92%,4663140,26.43B
DUK,Duke Energy Corporation,86.85B,-0.68%,1493024,29.75B
NGG,National Grid plc,60.11B,-0.24%,641520,25.90B
VST,Vistra Corp.,57.27B,-0.12%,5623292,16.27B
AEP,"American Electric Power Company, Inc.",52.13B,-1.49%,2098648,19.60B
SRE,Sempra,51.58B,-1.40%,3756270,12.92B
D,"Dominion Energy, Inc.",45.33B,-4.19%,7647609,14.59B
PEG,Public Service Enterprise Group Incorporated,41.55B,-0.08%,1574260,10.43B
EXC,Exelon Corporation,40.74B,-0.07%,5254199,22.92B
XEL,Xcel Energy Inc.,38.66B,-0.63%,2693814,13.76B
ETR,Entergy Corporation,35.02B,-0.46%,1638399,11.86B
PCG,PG&E Corporation,33.19B,0.13%,15089734,24.83B
ED,"Consolidated Edison, Inc.",32.88B,-0.74%,2186438,15.03B
WEC,"WEC Energy Group, Inc.",31.39B,-1.22%,3167635,8.60B
AEE,Ameren Corporation,25.49B,-0.54%,1364077,7.06B
DTE,DTE Energy Company,24.99B,-0.21%,630565,12.42B
PPL,PPL Corporation,24.80B,-0.59%,3282289,8.28B
AWK,"American Water Works Company, Inc.",24.14B,-1.52%,919882,4.52B
FE,FirstEnergy Corp.,23.02B,-0.13%,4403946,13.26B
ATO,Atmos Energy Corporation,22.13B,-0.70%,1060779,4.18B
FTS,Fortis Inc.,21.36B,0.12%,300450,8.47B
ES,Eversource Energy,21.26B,-0.80%,1659048,11.62B
CNP,"CenterPoint Energy, Inc.",20.95B,-1.11%,2689051,8.56B
NRG,"NRG Energy, Inc.",20.59B,-0.99%,1540062,28.12B
EIX,Edison International,20.02B,-1.37%,3426874,17.32B
CMS,CMS Energy Corporation,19.77B,-0.45%,1342929,7.48B
NI,NiSource Inc.,17.45B,-0.51%,2245307,5.29B
BIP,Brookfield Infrastructure Partners L.P.,15.30B,2.19%,681776,21.04B
LNT,Alliant Energy Corporation,15.20B,-0.05%,1021461,3.97B
EVRG,"Evergy, Inc.",14.79B,-0.86%,1253775,5.78B
EBR,Centrais Elétricas Brasileiras S.A. - Eletrobrás,14.27B,-0.16%,922054,6.99B
BEP,Brookfield Renewable Partners L.P.,14.02B,3.39%,784501,5.88B
SBS,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,11.58B,2.37%,943573,6.53B
TLN,Talen Energy Corporation,10.77B,1.55%,985641,2.02B
PNW,Pinnacle West Capital Corporation,9.91B,0.35%,698371,5.02B
WTRG,"Essential Utilities, Inc.",9.73B,-1.64%,1485699,1.96B
KEP,Korea Electric Power Corporation,9.32B,0.42%,72665,70.35B
OGE,OGE Energy Corp.,8.51B,0.17%,768246,2.79B
AES,The AES Corporation,7.54B,-0.93%,10762402,12.28B
UGI,UGI Corporation,6.67B,0.13%,938258,7.21B
CIG.C,Companhia Energética de Minas Gerais - CEMIG,6.18B,-2.64%,18400,7.09B
CIG,Companhia Energética de Minas Gerais - CEMIG,6.18B,-1.04%,2064075,7.09B
IDA,"IDACORP, Inc.",5.90B,0.01%,227906,1.84B
OKLO,Oklo Inc.,5.73B,2.09%,20832375,-
SWX,"Southwest Gas Holdings, Inc.",5.45B,0.66%,304924,5.21B
PAM,Pampa Energía S.A.,5.36B,1.66%,155448,2.71B
BIPC,Brookfield Infrastructure Corporation,4.97B,1.61%,315102,3.67B
ELPC,Companhia Paranaense de Energia - COPEL,4.87B,2.53%,1303,4.08B
ELP,Companhia Paranaense de Energia - COPEL,4.87B,0.15%,191977,4.08B
NJR,New Jersey Resources Corporation,4.66B,-3.26%,705303,1.82B
TXNM,"TXNM Energy, Inc.",4.39B,0.64%,472391,1.91B
POR,Portland General Electric Company,4.31B,-0.10%,424204,3.34B
ENIC,Enel Chile S.A.,4.31B,1.96%,394433,5.29B
BKH,Black Hills Corporation,4.23B,0.25%,466423,2.12B
SR,Spire Inc.,4.11B,-0.52%,452695,2.51B
OGS,"ONE Gas, Inc.",3.98B,-0.80%,308765,2.06B
BEPC,Brookfield Renewable Corporation,3.82B,1.89%,1018717,4.57B
ALE,"ALLETE, Inc.",3.80B,0.06%,310157,1.57B
ORA,"Ormat Technologies, Inc.",3.79B,0.37%,314171,890.25M
NFE,New Fortress Energy Inc.,3.77B,-5.71%,3864517,2.42B
AQN,Algonquin Power & Utilities Corp.,3.44B,0.22%,8868505,2.61B
TAC,TransAlta Corporation,3.34B,0.72%,1086173,2.07B
NWE,"NorthWestern Energy Group, Inc.",3.28B,-0.52%,242708,1.50B
MGEE,"MGE Energy, Inc.",3.22B,0.35%,142951,653.68M
OTTR,Otter Tail Corporation,3.19B,0.01%,251142,1.34B
CWEN,"Clearway Energy, Inc.",3.00B,0.50%,860490,1.36B
AVA,Avista Corporation,2.91B,-,233065,1.92B
CPK,Chesapeake Utilities Corporation,2.82B,0.06%,52567,757.49M
AWR,American States Water Company,2.75B,-0.07%,88894,577.54M
CWT,California Water Service Group,2.66B,-1.48%,287431,1.03B
CEPU,Central Puerto S.A.,2.47B,2.10%,149710,375.58M
RNW,ReNew Energy Global Plc,2.36B,2.20%,701887,998.53M
FLNC,"Fluence Energy, Inc.",2.25B,-0.88%,2263771,2.70B
CTRI,"Centuri Holdings, Inc.",1.96B,5.58%,294746,2.59B
EDN,Empresa Distribuidora y Comercializadora Norte Sociedad Anónima,1.96B,4.36%,198119,972.77M
ENLT,Enlight Renewable Energy Ltd,1.95B,3.05%,12128,358.42M
SJW,SJW Group,1.72B,-0.70%,211489,721.96M
KEN,Kenon Holdings Ltd.,1.64B,1.82%,7543,742.80M
HE,"Hawaiian Electric Industries, Inc.",1.63B,1.61%,1374030,3.69B
NWN,Northwest Natural Holding Company,1.60B,0.20%,268116,1.14B
ARIS,"Aris Water Solutions, Inc.",1.51B,0.89%,597309,420.96M
SPH,"Suburban Propane Partners, L.P.",1.41B,2.37%,370847,1.33B
MSEX,Middlesex Water Company,898.65M,-0.63%,66773,183.37M
UTL,Unitil Corporation,874.70M,-0.24%,41504,496.90M
AMPS,"Altus Power, Inc.",633.60M,0.76%,545670,185.99M
MNTK,"Montauk Renewables, Inc.",620.49M,4.82%,96706,194.85M
OPAL,OPAL Fuels Inc.,518.49M,-1.96%,124534,306.96M
YORW,The York Water Company,453.94M,-0.28%,46753,74.19M
CWCO,Consolidated Water Co. Ltd.,421.84M,-0.49%,76756,158.81M
GNE,Genie Energy Ltd.,393.31M,0.21%,42094,427.22M
CDZI,Cadiz Inc.,373.67M,-1.39%,388418,5.54M
ARTNA,Artesian Resources Corporation,323.25M,0.06%,28406,105.65M
PCYO,Pure Cycle Corporation,282.90M,0.95%,23352,29.11M
GWRS,"Global Water Resources, Inc.",279.03M,-0.35%,26284,51.81M
NRGV,"Energy Vault Holdings, Inc.",264.69M,1.75%,708895,130.96M
RGCO,"RGC Resources, Inc.",209.27M,-0.83%,4652,84.64M
ELLO,Ellomay Capital Ltd.,199.22M,-0.70%,1582,44.85M
VGAS,"Verde Clean Fuels, Inc.",180.87M,1.50%,29311,-
SUUN,SolarBank Corporation,107.19M,16.44%,305121,49.37M
STEM,"Stem, Inc.",96.95M,1.52%,6110742,256.18M
WAVE,Eco Wave Power Global AB (publ),45.22M,3.20%,51313,279.00K
ADN,"Advent Technologies Holdings, Inc.",13.50M,-3.40%,10982,8.16M
BNRG,Brenmiller Energy Ltd,9.44M,-2.21%,3413296,41.00K
HTOO,Fusion Fuel Green PLC,7.92M,0.18%,170619,4.44M
CREG,Smart Powerr Corp.,5.60M,3.00%,13598,-
ALCE,Alternus Clean Energy Inc,854.50K,-1.69%,191262,-
