iter	Passed	Remaining
0	165	16396
1	176	8659
2	188	6105
3	202	4851
4	214	4076
5	225	3537
6	239	3184
7	251	2887
8	260	2630
9	270	2430
10	279	2260
11	289	2126
12	300	2010
13	310	1907
14	320	1815
15	329	1732
16	340	1661
17	351	1600
18	361	1541
19	372	1488
20	383	1441
21	393	1394
22	404	1355
23	417	1321
24	427	1283
25	437	1246
26	448	1212
27	458	1177
28	468	1148
29	478	1117
30	488	1087
31	499	1061
32	511	1038
33	522	1014
34	536	996
35	548	975
36	560	954
37	572	934
38	584	913
39	594	891
40	605	870
41	616	850
42	626	830
43	637	810
44	651	796
45	663	778
46	674	760
47	687	745
48	698	726
49	710	710
50	720	691
51	730	674
52	742	658
53	751	640
54	762	623
55	772	606
56	782	590
57	796	576
58	807	560
59	818	545
60	834	533
61	850	521
62	865	508
63	880	495
64	895	482
65	912	469
66	925	455
67	937	441
68	948	426
69	960	411
70	972	397
71	982	382
72	995	368
73	1009	354
74	1021	340
75	1032	326
76	1044	312
77	1057	298
78	1068	284
79	1080	270
80	1094	256
81	1106	242
82	1119	229
83	1131	215
84	1142	201
85	1155	188
86	1170	174
87	1185	161
88	1197	147
89	1210	134
90	1223	120
91	1235	107
92	1246	93
93	1259	80
94	1272	66
95	1284	53
96	1312	40
97	1323	27
98	1333	13
99	1342	0
