Symbol,Company Name,Market Cap,% Change,Volume,Revenue
GOOGL,Alphabet Inc.,"2,526.30B",2.56%,37413044,350.02B
META,"Meta Platforms, Inc.","1,784.18B",0.96%,13689893,164.50B
NFLX,"Netflix, Inc.",425.56B,1.63%,5915967,39.00B
TMUS,"T-Mobile US, Inc.",270.88B,-0.36%,3278104,81.40B
DIS,The Walt Disney Company,204.90B,-0.61%,11115905,92.50B
T,AT&T Inc.,174.02B,-,25599296,122.34B
VZ,Verizon Communications Inc.,167.59B,-0.43%,19176393,134.79B
CMCSA,Comcast Corporation,126.85B,1.08%,35568848,123.73B
SPOT,Spotify Technology S.A.,125.65B,13.24%,6513129,16.23B
DASH,"DoorDash, Inc.",80.82B,1.98%,2273324,10.15B
NTES,"NetEase, Inc.",65.63B,-2.37%,1218665,15.07B
CHTR,"Charter Communications, Inc.",53.91B,-0.36%,1181406,55.09B
RBLX,Roblox Corporation,48.42B,4.40%,9065728,3.36B
AMX,"América Móvil, S.A.B. de C.V.",43.75B,0.35%,1434393,42.54B
RDDT,"Reddit, Inc.",37.80B,6.43%,5479376,1.12B
LYV,"Live Nation Entertainment, Inc.",34.14B,1.52%,2044839,23.32B
BIDU,"Baidu, Inc.",32.57B,5.89%,6757820,19.10B
TTWO,"Take-Two Interactive Software, Inc.",32.23B,-1.36%,1653124,5.46B
EA,Electronic Arts Inc.,31.80B,-1.35%,7033248,7.35B
CHT,"Chunghwa Telecom Co., Ltd.",29.74B,-0.57%,153487,7.02B
TKO,"TKO Group Holdings, Inc.",26.95B,0.44%,732230,2.78B
FOXA,Fox Corporation,24.96B,5.18%,6943278,15.18B
WBD,"Warner Bros. Discovery, Inc.",24.68B,-0.98%,20296914,39.58B
FWONK,Formula One Group,23.68B,-0.50%,1066063,3.72B
FWONA,Formula One Group,23.49B,-0.55%,83261,3.72B
TEF,"Telefónica, S.A.",22.92B,0.25%,425197,45.25B
PINS,"Pinterest, Inc.",22.57B,0.94%,10694582,3.47B
BCE,BCE Inc.,22.25B,1.54%,1869578,18.11B
TU,TELUS Corporation,22.08B,1.17%,3022148,14.78B
VOD,Vodafone Group Public Limited Company,20.64B,-3.42%,31104857,41.28B
Z,"Zillow Group, Inc.",19.56B,2.66%,1767134,2.16B
SNAP,Snap Inc.,19.46B,3.85%,46817522,5.36B
TME,Tencent Music Entertainment Group,19.00B,2.04%,9490049,3.97B
OMC,Omnicom Group Inc.,17.07B,-0.98%,2247804,15.69B
WMG,Warner Music Group Corp.,16.81B,1.41%,1708254,6.43B
NWSA,News Corporation,16.19B,1.57%,3095353,10.16B
TLK,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,16.00B,1.59%,1515238,9.92B
RCI,Rogers Communications Inc.,15.22B,2.18%,984411,14.32B
VIV,Telefônica Brasil S.A.,14.67B,0.45%,503098,10.06B
EDR,"Endeavor Group Holdings, Inc.",14.47B,1.51%,453876,7.48B
ROKU,"Roku, Inc.",11.64B,1.34%,3239682,3.90B
PSO,Pearson plc,11.14B,0.72%,279989,4.49B
LBRDK,Liberty Broadband Corporation,10.87B,-0.25%,405612,1.00B
IPG,"The Interpublic Group of Companies, Inc.",10.73B,-0.69%,4477566,9.34B
WPP,WPP plc,10.29B,0.91%,122308,18.77B
MTCH,"Match Group, Inc.",9.18B,3.02%,7476078,3.48B
NYT,The New York Times Company,9.16B,1.86%,2445006,2.51B
FYBR,"Frontier Communications Parent, Inc.",8.92B,0.20%,1393818,5.86B
SIRI,Sirius XM Holdings Inc.,8.34B,2.58%,9720392,8.70B
SKM,"SK Telecom Co., Ltd.",8.19B,-0.37%,210472,13.67B
NBIS,Nebius Group N.V.,8.12B,3.57%,7570928,8.66B
KT,KT Corporation,7.88B,-1.56%,1234694,20.14B
BILI,Bilibili Inc.,7.34B,5.62%,5865973,3.63B
PARA,Paramount Global,7.28B,1.77%,4925760,28.87B
LLYVK,Liberty Live Group,6.92B,2.10%,261261,-
LLYVA,Liberty Live Group,6.89B,2.49%,102551,-
TIMB,TIM S.A.,6.64B,1.33%,365791,4.61B
DJT,Trump Media & Technology Group Corp.,6.64B,-0.65%,3537157,3.37M
BZ,Kanzhun Limited,6.63B,3.60%,3550839,1.01B
TKC,Turkcell Iletisim Hizmetleri A.S.,6.52B,2.20%,408089,3.32B
TEO,Telecom Argentina S.A.,5.85B,1.61%,52034,1.78B
USM,United States Cellular Corporation,5.37B,0.06%,61226,3.80B
PHI,PLDT Inc.,5.13B,1.73%,67260,3.85B
LUMN,"Lumen Technologies, Inc.",5.11B,3.49%,13006317,13.11B
MSGS,Madison Square Garden Sports Corp.,5.05B,-3.59%,193882,1.07B
NXST,"Nexstar Media Group, Inc.",4.77B,1.09%,260412,5.22B
TIGO,Millicom International Cellular S.A.,4.50B,0.49%,263423,5.85B
LBTYB,Liberty Global Ltd.,4.08B,-0.84%,6,7.67B
LBTYK,Liberty Global Ltd.,4.08B,0.87%,1562881,7.67B
TDS,"Telephone and Data Systems, Inc.",4.04B,0.88%,645077,5.04B
IAC,IAC Inc.,3.73B,4.26%,587816,3.88B
CCOI,"Cogent Communications Holdings, Inc.",3.61B,-1.14%,312755,976.01M
CNK,"Cinemark Holdings, Inc.",3.54B,1.10%,4269526,2.87B
ATHM,Autohome Inc.,3.39B,0.50%,482089,1.02B
IRDM,Iridium Communications Inc.,3.25B,0.60%,1517700,812.43M
VEON,VEON Ltd.,3.07B,0.63%,32364,3.96B
TGNA,TEGNA Inc.,2.96B,2.06%,1177753,2.96B
GSAT,"Globalstar, Inc.",2.92B,2.67%,9074283,241.58M
MANU,Manchester United plc,2.71B,1.33%,200048,868.15M
PLTK,Playtika Holding Corp.,2.70B,-0.41%,447300,2.54B
YELP,Yelp Inc.,2.64B,1.47%,283215,1.39B
BATRA,"Atlanta Braves Holdings, Inc.",2.59B,1.41%,59153,678.38M
BATRK,"Atlanta Braves Holdings, Inc.",2.52B,1.75%,536793,678.38M
MGNI,"Magnite, Inc.",2.49B,2.73%,1132918,661.13M
WB,Weibo Corporation,2.47B,0.99%,1240764,1.76B
YY,JOYY Inc.,2.42B,2.86%,196739,2.26B
