Symbol,Company Name,Market Cap,% Change,Volume,Revenue
WMT,Walmart Inc.,809.52B,1.24%,12285996,673.82B
COST,Costco Wholesale Corporation,453.60B,1.59%,1992497,258.81B
PG,The Procter & Gamble Company,394.24B,-0.37%,4395414,84.35B
KO,The Coca-Cola Company,269.97B,-1.07%,12295674,46.37B
PM,Philip Morris International Inc.,202.73B,-,4104131,37.22B
PEP,"PepsiCo, Inc.",199.15B,-4.51%,12694669,91.85B
UL,Unilever PLC,142.25B,-0.69%,1506142,64.60B
BUD,Anheuser-Busch InBev SA/NV,96.31B,0.02%,1199744,59.40B
MO,"Altria Group, Inc.",89.18B,-0.44%,6782942,20.44B
BTI,British American Tobacco p.l.c.,88.46B,1.23%,4630092,33.09B
MDLZ,"Mondelez International, Inc.",75.04B,-2.25%,12233934,36.44B
CL,Colgate-Palmolive Company,70.67B,-0.61%,3973095,20.10B
DEO,Diageo plc,64.57B,-0.84%,1024492,20.21B
TGT,Target Corporation,62.13B,1.07%,3627572,107.57B
KR,The Kroger Co.,46.30B,1.03%,4162711,149.88B
MNST,Monster Beverage Corporation,45.33B,-1.87%,8922238,7.41B
KMB,Kimberly-Clark Corporation,42.90B,-0.88%,1580996,20.06B
KDP,Keurig Dr Pepper Inc.,42.43B,-3.87%,6889834,15.15B
KVUE,Kenvue Inc.,39.90B,-1.98%,11810529,15.46B
CCEP,Coca-Cola Europacific Partners PLC,35.87B,-0.37%,1450403,20.52B
SYY,Sysco Corporation,34.93B,-1.26%,4862021,80.57B
KHC,The Kraft Heinz Company,34.70B,-1.98%,11224532,26.13B
GIS,"General Mills, Inc.",32.53B,-1.60%,3714075,19.90B
STZ,"Constellation Brands, Inc.",31.19B,-1.04%,1905114,10.18B
ABEV,Ambev S.A.,29.75B,-,23618587,15.13B
HSY,The Hershey Company,29.29B,-2.06%,1852080,10.97B
FMX,"Fomento Económico Mexicano, S.A.B. de C.V.",28.73B,1.02%,535183,38.59B
K,Kellanova,28.18B,-0.01%,1441561,12.80B
CHD,"Church & Dwight Co., Inc.",25.96B,-0.42%,1117181,6.11B
EL,The Estée Lauder Companies Inc.,24.94B,-16.07%,16791013,15.45B
ADM,Archer-Daniels-Midland Company,22.73B,-5.06%,5965406,85.53B
MKC,"McCormick & Company, Incorporated",20.62B,-1.47%,1496243,6.72B
MKC.V,"McCormick & Company, Incorporated",20.61B,-2.09%,765,6.72B
TSN,"Tyson Foods, Inc.",20.31B,-1.26%,3062524,53.61B
CLX,The Clorox Company,18.26B,-7.24%,4163895,7.17B
USFD,US Foods Holding Corp.,16.74B,0.76%,1418495,37.32B
SFM,"Sprouts Farmers Market, Inc.",16.58B,3.82%,1220751,7.42B
KOF,"Coca-Cola FEMSA, S.A.B. de C.V.",16.31B,0.48%,176835,13.66B
HRL,Hormel Foods Corporation,16.14B,-0.71%,1800776,11.92B
DLTR,"Dollar Tree, Inc.",15.98B,3.74%,2276040,31.22B
DG,Dollar General Corporation,15.79B,0.46%,2161325,40.17B
BF.A,Brown-Forman Corporation,15.01B,-0.59%,214547,4.08B
PFGC,Performance Food Group Company,14.12B,0.92%,1398912,56.50B
BJ,"BJ's Wholesale Club Holdings, Inc.",13.57B,3.09%,1777346,20.58B
PRMB,Primo Brands Corporation,12.55B,0.70%,839793,4.84B
COKE,"Coca-Cola Consolidated, Inc.",12.14B,1.75%,36804,6.78B
CAG,"Conagra Brands, Inc.",11.95B,-1.69%,4295629,11.93B
ACI,"Albertsons Companies, Inc.",11.73B,3.42%,6406761,79.93B
PPC,Pilgrim's Pride Corporation,11.21B,-1.15%,918528,18.03B
CPB,The Campbell's Company,11.16B,-1.78%,3315504,9.89B
SJM,The J. M. Smucker Company,11.14B,-1.14%,694337,8.83B
TAP,Molson Coors Beverage Company,10.91B,-0.82%,1246650,11.68B
TAP.A,Molson Coors Beverage Company,10.91B,-7.50%,40,11.68B
BG,Bunge Global SA,10.47B,-0.19%,1881422,54.50B
BRBR,"BellRing Brands, Inc.",9.66B,-4.26%,3756492,2.10B
HIMS,"Hims & Hers Health, Inc.",9.14B,7.50%,16340746,1.24B
SFD,"Smithfield Foods, Inc.",8.44B,-1.56%,723268,14.19B
LW,"Lamb Weston Holdings, Inc.",8.44B,-1.89%,1931080,6.33B
INGR,Ingredion Incorporated,8.28B,-5.64%,948036,7.43B
EDU,New Oriental Education & Technology Group Inc.,7.92B,-0.86%,1348497,4.82B
FRPT,"Freshpet, Inc.",7.55B,-2.25%,1621858,927.89M
TAL,TAL Education Group,7.55B,0.32%,5514712,2.07B
OLLI,"Ollie's Bargain Outlet Holdings, Inc.",6.46B,-2.01%,907442,2.25B
POST,"Post Holdings, Inc.",6.08B,-1.21%,372932,7.92B
COTY,Coty Inc.,6.06B,-1.83%,4408552,6.15B
BRFS,BRF S.A.,5.91B,-2.97%,2703825,10.70B
LRN,"Stride, Inc.",5.84B,-0.78%,957400,2.19B
DAR,Darling Ingredients Inc.,5.77B,-0.17%,1674694,5.91B
CELH,"Celsius Holdings, Inc.",5.39B,-3.54%,9386412,1.37B
CALM,"Cal-Maine Foods, Inc.",5.28B,0.88%,792583,3.08B
LOPE,"Grand Canyon Education, Inc.",5.15B,1.20%,159477,1.02B
LANC,Lancaster Colony Corporation,4.99B,8.68%,381875,1.90B
ELF,"e.l.f. Beauty, Inc.",4.98B,-5.35%,5288318,1.22B
IPAR,"Interparfums, Inc.",4.41B,-0.91%,106859,1.42B
FLO,"Flowers Foods, Inc.",4.08B,-0.97%,1474798,5.12B
GHC,Graham Holdings Company,4.07B,2.52%,8849,4.71B
NWL,Newell Brands Inc.,4.03B,1.04%,11269073,7.71B
ATGE,Adtalem Global Education Inc.,4.01B,2.72%,419336,1.69B
FIZZ,National Beverage Corp.,3.77B,-1.90%,142562,1.19B
SMPL,The Simply Good Foods Company,3.74B,-1.31%,562921,1.36B
TBBB,BBB Foods Inc.,3.30B,-5.89%,1032547,2.73B
LAUR,"Laureate Education, Inc.",2.92B,1.95%,907342,1.55B
RLX,RLX Technology Inc.,2.87B,1.80%,1795110,307.80M
NOMD,Nomad Foods Limited,2.84B,-0.62%,596350,3.42B
AKO.B,Embotelladora Andina S.A.,2.80B,2.37%,5949,3.24B
AKO.A,Embotelladora Andina S.A.,2.80B,5.85%,2303,3.24B
PSMT,"PriceSmart, Inc.",2.76B,2.65%,176204,5.01B
SAM,"The Boston Beer Company, Inc.",2.76B,-1.24%,145596,2.00B
STRA,"Strategic Education, Inc.",2.44B,2.49%,87125,1.21B
JJSF,J&J Snack Foods Corp.,2.42B,-6.52%,506075,1.59B
KLC,"KinderCare Learning Companies, Inc.",2.41B,0.44%,860980,2.63B
CENT,Central Garden & Pet Company,2.41B,1.35%,72558,3.20B
SPB,"Spectrum Brands Holdings, Inc.",2.31B,0.18%,524913,2.96B
CCU,Compañía Cervecerías Unidas S.A.,2.26B,2.01%,101016,2.80B
CHEF,"The Chefs' Warehouse, Inc.",2.24B,1.46%,605325,3.71B
TR,"Tootsie Roll Industries, Inc.",2.18B,-2.46%,117951,727.12M
COCO,"The Vita Coco Company, Inc.",2.12B,1.03%,736460,494.86M
CENTA,Central Garden & Pet Company,2.12B,0.90%,266499,3.20B
PRDO,Perdoceo Education Corporation,1.90B,1.01%,267583,652.75M
UTZ,"Utz Brands, Inc.",1.86B,-0.15%,1275478,1.42B
WMK,"Weis Markets, Inc.",1.86B,2.06%,27169,4.76B
UNFI,"United Natural Foods, Inc.",1.81B,1.82%,444902,31.30B
THS,"TreeHouse Foods, Inc.",1.74B,-0.96%,369911,3.36B
VITL,"Vital Farms, Inc.",1.66B,-4.69%,1284561,576.13M
GO,Grocery Outlet Holding Corp.,1.66B,3.39%,1497454,4.26B
UTI,"Universal Technical Institute, Inc.",1.57B,5.97%,697524,732.69M
EPC,Edgewell Personal Care Company,1.54B,-2.50%,532255,2.25B
DNUT,"Krispy Kreme, Inc.",1.49B,-1.13%,1224134,1.71B
AFYA,Afya Limited,1.49B,1.98%,93213,584.95M
FDP,Fresh Del Monte Produce Inc.,1.47B,-0.52%,315217,4.28B
KLG,WK Kellogg Co,1.40B,-0.18%,1205027,2.72B
ANDE,"The Andersons, Inc.",1.38B,2.00%,194670,11.35B
HELE,Helen of Troy Limited,1.36B,1.14%,320893,1.91B
UVV,Universal Corporation,1.29B,-0.49%,110477,2.83B
IMKTA,"Ingles Markets, Incorporated",1.27B,1.24%,90518,5.64B
DOLE,Dole plc,1.27B,-,370658,8.38B
COUR,"Coursera, Inc.",1.26B,1.66%,2200748,694.67M
TPB,"Turning Point Brands, Inc.",1.11B,0.66%,109810,409.41M
UDMY,"Udemy, Inc.",1.10B,3.28%,851364,776.17M
NGVC,"Natural Grocers by Vitamin Cottage, Inc.",1.06B,5.05%,96394,1.24B
DAO,"Youdao, Inc.",1.01B,5.34%,94449,822.10M
AGRO,Adecoagro S.A.,972.07M,1.05%,298846,1.41B
STKL,SunOpta Inc.,881.69M,0.96%,261486,711.68M
JBSS,"John B. Sanfilippo & Son, Inc.",820.02M,0.36%,97031,1.12B
AVO,"Mission Produce, Inc.",814.81M,-1.79%,253491,1.23B
MGPI,"MGP Ingredients, Inc.",734.56M,-3.13%,435906,737.72M
DDL,Dingdong (Cayman) Limited,717.16M,-,373049,3.16B
WEST,Westrock Coffee Company,636.71M,-0.44%,148472,836.72M
HNST,"The Honest Company, Inc.",631.01M,1.46%,2015016,368.77M
SPTN,SpartanNash Company,630.88M,2.58%,289682,9.53B
USNA,"USANA Health Sciences, Inc.",601.71M,-0.22%,134990,861.97M
GOTU,Gaotu Techedu Inc.,582.42M,7.01%,1795307,559.69M
BRCC,BRC Inc.,578.66M,5.43%,1773672,405.26M
HLF,Herbalife Ltd.,543.27M,1.70%,1404403,5.00B
LINC,Lincoln Educational Services Corporation,538.92M,6.07%,287127,423.21M
VLGEA,"Village Super Market, Inc.",507.47M,0.82%,33906,2.26B
SENEA,Seneca Foods Corporation,505.37M,1.48%,14558,1.48B
SENEB,Seneca Foods Corporation,502.70M,-3.94%,6,1.48B
BGS,"B&G Foods, Inc.",502.69M,-0.94%,1336288,1.96B
FC,Franklin Covey Co.,497.08M,2.31%,96013,287.92M
ZSPC,"zSpace, Inc.",492.77M,-8.78%,103788,41.62M
SNDL,SNDL Inc.,464.63M,5.42%,2780036,674.50M
HAIN,"The Hain Celestial Group, Inc.",445.56M,2.92%,1334133,1.71B
CDXC,ChromaDex Corporation,421.41M,0.27%,266422,91.67M
LMNR,Limoneira Company,403.43M,-0.84%,58116,191.50M
CVGW,"Calavo Growers, Inc.",398.84M,-0.22%,139554,661.54M
APEI,"American Public Education, Inc.",389.49M,1.15%,61647,613.25M
LND,BrasilAgro - Companhia Brasileira de Propriedades Agrícolas,386.87M,0.53%,37512,216.81M
EWCZ,"European Wax Center, Inc.",386.07M,1.19%,181648,223.50M
LWAY,"Lifeway Foods, Inc.",338.04M,-0.54%,58885,181.98M
NUS,"Nu Skin Enterprises, Inc.",323.62M,1.40%,397814,1.78B
OTLY,Oatly Group AB,323.44M,-7.07%,4296808,813.47M
LFVN,LifeVantage Corporation,297.35M,9.76%,544498,196.01M
MAMA,"Mama's Creations, Inc.",290.92M,2.25%,133717,116.47M
ZVIA,Zevia PBC,275.99M,0.27%,515730,153.39M
ISPR,Ispire Technology Inc.,269.64M,3.48%,21978,148.38M
NATR,"Nature's Sunshine Products, Inc.",261.61M,2.16%,19552,445.10M
AFRI,Forafric Global PLC,258.04M,-,5613,325.10M
BYND,"Beyond Meat, Inc.",250.38M,1.32%,1717841,323.47M
SKIL,Skillsoft Corp.,247.18M,4.23%,37244,534.78M
ALCO,"Alico, Inc.",234.05M,1.46%,41066,46.64M
WILC,G. Willi-Food International Ltd.,228.74M,0.52%,10859,154.48M
VSTA,Vasta Platform Limited,222.88M,-1.42%,14138,280.87M
SKIN,The Beauty Health Company,201.08M,-2.41%,506375,347.62M
NAMI,Jinxin Technology Holding Company,183.67M,19.00%,42822,56.13M
PHH,"Park Ha Biological Technology Co., Ltd.",161.92M,-0.48%,18729,1.94M
LXEH,"Lixiang Education Holding Co., Ltd.",155.83M,50.56%,903471,5.63M
CHGG,"Chegg, Inc.",155.42M,3.47%,1825811,662.08M
FTLF,"FitLife Brands, Inc.",146.36M,1.76%,3709,62.76M
HFFG,HF Foods Group Inc.,146.08M,3.36%,58230,1.18B
ACU,Acme United Corporation,140.30M,4.57%,8037,190.49M
BRLS,Borealis Foods Inc.,128.28M,-1.64%,680,28.37M
COE,51Talk Online Education Group,121.75M,5.85%,21816,41.92M
QSG,QuantaSing Group Limited,120.12M,-1.26%,36607,532.70M
DSY,Big Tree Cloud Holdings Limited,111.31M,3.17%,67729,7.32M
