Symbol,Company Name,Market Cap,% Change,Volume,Revenue
XOM,Exxon Mobil Corporation,478.66B,2.68%,14499898,343.39B
CVX,Chevron Corporation,275.35B,2.60%,8451893,198.20B
SHEL,Shell plc,202.45B,2.24%,3150466,284.31B
TTE,TotalEnergies SE,133.33B,2.83%,1500751,203.26B
COP,ConocoPhillips,130.11B,2.13%,4354729,56.92B
ENB,Enbridge Inc.,95.39B,1.86%,3011657,35.94B
PBR,Petróleo Brasileiro S.A. - Petrobras,86.55B,-0.63%,13911447,92.53B
PBR.A,Petróleo Brasileiro S.A. - Petrobras,86.55B,0.08%,3480563,92.53B
BP,BP p.l.c.,82.68B,2.49%,8852410,193.93B
EOG,"EOG Resources, Inc.",71.75B,1.36%,1713802,23.86B
EPD,Enterprise Products Partners L.P.,71.51B,-0.42%,7597549,56.22B
ET,Energy Transfer LP,71.11B,0.05%,12033616,83.66B
WMB,"The Williams Companies, Inc.",67.92B,-0.85%,4027657,10.37B
EQNR,Equinor ASA,67.25B,4.07%,4869712,104.81B
CNQ,Canadian Natural Resources Limited,65.45B,3.23%,5914980,26.46B
KMI,"Kinder Morgan, Inc.",61.10B,-0.29%,10022864,15.10B
SLB,Schlumberger Limited,57.74B,2.64%,10430853,36.29B
OKE,"ONEOK, Inc.",56.68B,-0.62%,3207699,19.93B
MPLX,MPLX LP,53.62B,2.37%,3023070,11.93B
LNG,"Cheniere Energy, Inc.",51.16B,-0.68%,1211301,15.58B
PSX,Phillips 66,51.05B,4.88%,3152968,143.15B
MPC,Marathon Petroleum Corporation,50.43B,6.74%,5017325,139.34B
VG,"Venture Global, Inc.",49.48B,-4.62%,4354261,5.08B
FANG,"Diamondback Energy, Inc.",48.56B,1.11%,1898603,9.16B
TRP,TC Energy Corporation,48.48B,3.07%,1213280,12.32B
SU,Suncor Energy Inc.,48.03B,1.57%,5401932,37.73B
BKR,Baker Hughes Company,47.46B,1.18%,8474543,27.83B
VLO,Valero Energy Corporation,45.27B,5.00%,3446602,129.88B
OXY,Occidental Petroleum Corporation,44.66B,2.63%,9154532,27.14B
E,Eni S.p.A.,44.05B,2.18%,180123,102.82B
HES,Hess Corporation,43.85B,2.85%,2084735,12.66B
TRGP,Targa Resources Corp.,43.57B,-0.95%,1129183,16.22B
IMO,Imperial Oil Limited,33.98B,-0.06%,636369,35.81B
TPL,Texas Pacific Land Corporation,31.18B,1.84%,95069,686.70M
EQT,EQT Corporation,31.12B,-0.06%,4142558,4.62B
CQP,"Cheniere Energy Partners, L.P.",31.09B,-1.44%,286674,8.93B
WDS,Woodside Energy Group Ltd,29.44B,2.72%,548701,12.58B
CVE,Cenovus Energy Inc.,27.38B,6.17%,12062485,41.20B
EXE,Expand Energy Corporation,24.02B,1.05%,2221823,3.29B
HAL,Halliburton Company,23.14B,3.25%,11480466,22.94B
DVN,Devon Energy Corporation,22.61B,1.99%,5681611,14.53B
CCJ,Cameco Corporation,21.90B,6.05%,3189859,2.07B
PBA,Pembina Pipeline Corporation,21.12B,3.47%,1967306,7.31B
TS,Tenaris S.A.,20.81B,2.36%,1126265,13.09B
CTRA,Coterra Energy Inc.,20.65B,-0.04%,3511433,5.50B
EC,Ecopetrol S.A.,20.31B,2.29%,3042359,31.98B
YPF,YPF Sociedad Anónima,17.57B,2.18%,983843,15.68B
WES,"Western Midstream Partners, LP",15.53B,0.49%,1139019,3.53B
PAA,"Plains All American Pipeline, L.P.",14.14B,1.01%,4456789,50.37B
