Symbol,Company Name,Market Cap,% Change,Volume,Revenue
AAPL,Apple Inc.,"3,497.14B",2.10%,44489128,395.76B
MSFT,Microsoft Corporation,"3,065.55B",0.35%,20353256,261.80B
NVDA,NVIDIA Corporation,"2,905.74B",1.71%,248343410,113.27B
AVGO,Broadcom Inc.,"1,042.61B",2.16%,22338244,51.57B
TSM,Taiwan Semiconductor Manufacturing Company Limited,875.76B,2.13%,11221933,88.29B
ORCL,Oracle Corporation,469.58B,-0.42%,5682638,54.93B
CRM,"Salesforce, Inc.",329.34B,1.44%,4959522,37.19B
SAP,SAP SE,322.65B,2.04%,893979,35.38B
ASML,ASML Holding N.V.,291.10B,0.05%,1382557,29.26B
ACN,Accenture plc,244.95B,1.66%,3154284,66.36B
IBM,International Business Machines Corporation,244.53B,1.43%,4540997,62.75B
CSCO,"Cisco Systems, Inc.",244.30B,0.49%,12571717,52.98B
PLTR,Palantir Technologies Inc.,236.53B,23.99%,228639504,2.87B
NOW,"ServiceNow, Inc.",208.09B,-1.06%,1701497,10.98B
AMD,"Advanced Micro Devices, Inc.",193.93B,4.58%,46375962,25.79B
ADBE,Adobe Inc.,191.63B,0.37%,2581258,21.51B
QCOM,QUALCOMM Incorporated,191.28B,1.64%,5405486,38.96B
ARM,Arm Holdings plc,170.47B,4.21%,4968250,3.54B
INTU,Intuit Inc.,165.63B,-1.50%,1714523,16.59B
TXN,Texas Instruments Incorporated,164.49B,-0.21%,5769186,15.64B
SHOP,Shopify Inc.,154.02B,4.20%,6914491,8.21B
UBER,"Uber Technologies, Inc.",146.87B,3.66%,30557758,41.96B
AMAT,"Applied Materials, Inc.",145.12B,-0.13%,3617262,27.18B
ANET,Arista Networks Inc,141.50B,0.74%,5226953,6.61B
SONY,Sony Group Corporation,136.94B,2.88%,4010464,91.76B
APP,AppLovin Corporation,127.61B,4.06%,5239342,4.29B
ADP,"Automatic Data Processing, Inc.",123.96B,-0.86%,1248749,19.90B
FI,"Fiserv, Inc.",121.87B,-1.11%,2574944,20.46B
PANW,"Palo Alto Networks, Inc.",120.35B,0.33%,5479014,8.29B
LRCX,Lam Research Corporation,102.58B,-0.35%,9185630,16.21B
ADI,"Analog Devices, Inc.",102.20B,0.38%,4643159,9.43B
MU,"Micron Technology, Inc.",101.01B,0.82%,11651471,29.09B
CRWD,"CrowdStrike Holdings, Inc.",100.38B,2.50%,2844757,3.74B
KLAC,KLA Corporation,99.57B,1.23%,993348,10.85B
MRVL,"Marvell Technology, Inc.",94.91B,-3.41%,14034708,5.38B
INFY,Infosys Limited,90.33B,1.77%,9777140,19.11B
MSTR,MicroStrategy Incorporated,87.82B,0.35%,12243063,467.24M
APH,Amphenol Corporation,84.04B,-0.58%,4825887,15.22B
INTC,Intel Corporation,83.53B,-0.46%,44365305,53.10B
TEAM,Atlassian Corporation,82.98B,1.71%,1912040,4.79B
CDNS,"Cadence Design Systems, Inc.",82.19B,0.46%,1010854,4.35B
SNPS,"Synopsys, Inc.",80.98B,0.70%,857950,6.13B
MSI,"Motorola Solutions, Inc.",78.78B,-0.42%,622061,10.66B
FTNT,"Fortinet, Inc.",78.78B,1.86%,3858812,5.71B
DELL,Dell Technologies Inc.,70.94B,1.58%,6831241,93.95B
WDAY,"Workday, Inc.",69.09B,-0.02%,1458947,8.16B
ADSK,"Autodesk, Inc.",65.93B,0.20%,880934,5.96B
SNOW,Snowflake Inc.,62.43B,3.60%,6610505,3.41B
ROP,"Roper Technologies, Inc.",61.94B,0.11%,664928,7.04B
TTD,"The Trade Desk, Inc.",56.04B,-3.73%,6090125,2.31B
PAYX,"Paychex, Inc.",53.83B,0.60%,1659158,5.37B
XYZ,"Block, Inc.",53.40B,-4.47%,5682468,23.86B
NXPI,NXP Semiconductors N.V.,51.44B,-1.14%,3599567,12.61B
DDOG,"Datadog, Inc.",49.54B,1.87%,2877486,2.54B
NET,"Cloudflare, Inc.",48.10B,2.41%,3017381,1.57B
FICO,Fair Isaac Corporation,44.23B,-1.00%,239986,1.78B
FIS,"Fidelity National Information Services, Inc.",43.89B,-0.43%,1339533,10.03B
TEL,TE Connectivity plc,43.19B,-0.20%,1411039,15.85B
GLW,Corning Incorporated,42.31B,1.34%,4501328,13.12B
IT,"Gartner, Inc.",42.20B,-0.12%,831876,6.27B
GRMN,Garmin Ltd.,41.90B,1.27%,577841,5.96B
CTSH,Cognizant Technology Solutions Corporation,41.42B,0.77%,3558321,19.41B
HUBS,"HubSpot, Inc.",39.42B,-0.17%,449752,2.51B
WIT,Wipro Limited,37.99B,1.09%,3979282,10.38B
MPWR,"Monolithic Power Systems, Inc.",32.01B,4.38%,962304,2.04B
ZS,"Zscaler, Inc.",31.26B,1.87%,1005899,2.30B
KEYS,"Keysight Technologies, Inc.",30.43B,-0.20%,682225,4.98B
ANSS,"ANSYS, Inc.",30.34B,0.05%,566059,2.47B
HPQ,HP Inc.,30.02B,0.03%,5050391,53.56B
GDDY,GoDaddy Inc.,29.54B,-1.08%,885052,4.48B
IOT,Samsara Inc.,29.51B,2.30%,1742324,1.18B
MCHP,Microchip Technology Incorporated,28.25B,0.65%,10592454,5.50B
BR,"Broadridge Financial Solutions, Inc.",28.15B,0.81%,448589,6.68B
FTV,Fortive Corporation,27.79B,-0.16%,1973636,6.20B
HPE,Hewlett Packard Enterprise Company,27.40B,1.81%,12681599,30.13B
CDW,CDW Corporation,26.56B,0.45%,2032836,20.83B
GIB,CGI Inc.,26.50B,-0.04%,195882,10.33B
CPAY,"Corpay, Inc.",26.47B,0.01%,304063,3.88B
ZM,Zoom Communications Inc.,26.41B,0.07%,1449790,4.63B
TYL,"Tyler Technologies, Inc.",26.02B,0.84%,163818,2.08B
UI,Ubiquiti Inc.,25.46B,4.61%,114593,2.02B
ERIC,Telefonaktiebolaget LM Ericsson (publ),25.28B,0.67%,18686142,22.40B
NOK,Nokia Oyj,25.15B,2.86%,19563852,19.90B
NTAP,"NetApp, Inc.",24.68B,1.42%,1308332,6.47B
TDY,Teledyne Technologies Incorporated,23.98B,1.37%,208936,5.67B
CHKP,Check Point Software Technologies Ltd.,23.34B,-0.75%,1294402,2.57B
PTC,PTC Inc.,23.00B,0.63%,715148,2.30B
GFS,GlobalFoundries Inc.,22.41B,-2.05%,1623230,6.77B
TWLO,Twilio Inc.,22.38B,-0.44%,2034769,4.34B
PSTG,"Pure Storage, Inc.",22.30B,2.35%,1655345,3.08B
TOST,"Toast, Inc.",22.29B,-1.92%,5290757,4.66B
WDC,Western Digital Corporation,22.19B,-0.95%,5153441,15.60B
ON,ON Semiconductor Corporation,21.54B,0.64%,5615659,7.38B
ASX,"ASE Technology Holding Co., Ltd.",21.33B,0.30%,4875331,18.69B
VRSN,"VeriSign, Inc.",21.00B,1.15%,722715,1.54B
GRAB,Grab Holdings Limited,20.58B,12.56%,75867142,2.69B
MDB,"MongoDB, Inc.",20.55B,2.66%,1217052,1.92B
STM,STMicroelectronics N.V.,20.14B,3.37%,6826009,13.27B
SSNC,"SS&C Technologies Holdings, Inc.",20.14B,-0.31%,872994,5.76B
STX,Seagate Technology Holdings plc,20.01B,1.10%,2824605,8.04B
ZBRA,Zebra Technologies Corporation,19.78B,-0.68%,434383,4.66B
DOCU,"DocuSign, Inc.",19.49B,-0.03%,1947657,2.91B
NTNX,"Nutanix, Inc.",19.01B,3.16%,2119558,2.23B
LDOS,"Leidos Holdings, Inc.",18.94B,0.22%,854547,16.28B
AFRM,"Affirm Holdings, Inc.",18.70B,-0.58%,4254475,2.52B
CYBR,CyberArk Software Ltd.,18.54B,1.13%,717714,909.46M
KSPI,Joint Stock Company Kaspi.kz,18.53B,1.91%,180091,4.93B
TRMB,Trimble Inc.,18.27B,0.31%,1296637,3.63B
TER,"Teradyne, Inc.",18.19B,0.52%,2218824,2.82B
GWRE,"Guidewire Software, Inc.",18.11B,1.96%,940885,1.04B
FSLR,"First Solar, Inc.",17.80B,-0.57%,1581497,3.85B
DT,"Dynatrace, Inc.",17.75B,0.68%,3251575,1.63B
JBL,Jabil Inc.,17.73B,1.47%,651096,27.49B
FFIV,"F5, Inc.",17.39B,1.55%,783979,2.89B
AZPN,"Aspen Technology, Inc.",17.29B,-0.09%,215911,1.14B
SMCI,"Super Micro Computer, Inc.",17.08B,8.60%,35362338,14.94B
DUOL,"Duolingo, Inc.",16.99B,5.96%,770890,689.46M
GEN,Gen Digital Inc.,16.66B,0.15%,4872592,3.90B
OKTA,"Okta, Inc.",16.18B,1.25%,1960121,2.53B
ALAB,"Astera Labs, Inc.",16.14B,3.68%,3357275,305.71M
FLEX,Flex Ltd.,16.06B,3.51%,4369772,25.58B
CLS,Celestica Inc.,15.36B,9.18%,5055225,9.65B
UMC,United Microelectronics Corporation,15.32B,-,13517525,7.09B
ENTG,"Entegris, Inc.",15.28B,1.74%,2420218,3.20B
AKAM,"Akamai Technologies, Inc.",15.00B,1.91%,1419089,3.97B
LOGI,Logitech International S.A.,14.74B,2.19%,994554,4.56B
BSY,"Bentley Systems, Incorporated",14.71B,1.83%,888956,1.31B
EPAM,"EPAM Systems, Inc.",14.46B,-0.61%,357707,4.64B
SWKS,"Skyworks Solutions, Inc.",13.81B,1.35%,2250333,4.18B
RBRK,"Rubrik, Inc.",13.72B,4.53%,1574953,803.46M
COHR,Coherent Corp.,13.57B,0.27%,3551694,5.00B
KVYO,"Klaviyo, Inc.",12.95B,2.83%,1545323,868.92M
CRDO,Credo Technology Group Holding Ltd,12.75B,6.18%,4972430,245.59M
WIX,Wix.com Ltd.,12.73B,-1.33%,587807,1.70B
JKHY,"Jack Henry & Associates, Inc.",12.70B,-0.40%,994563,2.27B
MNDY,monday.com Ltd.,12.67B,2.36%,611943,906.59M
CIEN,Ciena Corporation,12.44B,2.80%,2058360,4.01B
YMM,Full Truck Alliance Co. Ltd.,12.08B,3.87%,5013487,1.49B
MANH,"Manhattan Associates, Inc.",11.97B,-1.88%,787302,1.04B
ESTC,Elastic N.V.,11.96B,3.52%,1013449,1.38B
AUR,"Aurora Innovation, Inc.",11.87B,1.77%,7802551,-
SNX,TD SYNNEX Corporation,11.85B,0.57%,618122,58.45B
JNPR,"Juniper Networks, Inc.",11.80B,3.06%,4804837,5.07B
PCTY,Paylocity Holding Corporation,11.75B,2.15%,548469,1.45B
GTLB,GitLab Inc.,11.59B,1.02%,2221785,711.60M
PCOR,"Procore Technologies, Inc.",11.54B,-0.51%,868996,1.11B
PAYC,"Paycom Software, Inc.",11.47B,-,394915,1.82B
DAY,Dayforce Inc.,11.31B,0.93%,2002273,1.69B
FOUR,"Shift4 Payments, Inc.",10.65B,-0.88%,1040209,3.15B
NICE,NICE Ltd.,10.55B,4.07%,435734,2.64B
DBX,"Dropbox, Inc.",10.03B,1.35%,2040080,2.54B
BILL,"BILL Holdings, Inc.",9.95B,0.35%,1674037,1.34B
DSGX,The Descartes Systems Group Inc.,9.91B,0.16%,178440,631.76M
ONTO,Onto Innovation Inc.,9.91B,0.68%,563202,942.24M
MTSI,"MACOM Technology Solutions Holdings, Inc.",9.86B,0.20%,539962,729.58M
DOX,Amdocs Limited,9.80B,-0.61%,1226934,4.87B
CFLT,"Confluent, Inc.",9.57B,0.73%,2799092,915.61M
ALTR,Altair Engineering Inc.,9.41B,0.23%,442106,644.66M
TTAN,"ServiceTitan, Inc.",9.35B,0.77%,181806,724.36M
PEGA,Pegasystems Inc.,9.31B,0.60%,410623,1.48B
GLOB,Globant S.A.,9.27B,1.48%,445884,2.35B
