KullaniciID,Cinsiyet,Yas,TahminiMaas,IngilizceBilme
15624510,1,19.0,19000,0
15810944,1,35.0,20000,1
15668575,0,26.0,43000,1
15603246,0,27.0,57000,1
15804002,1,19.0,76000,0
15728773,1,,58000,1
15598044,0,27.0,84000,1
15694829,0,32.0,150000,1
15600575,1,25.0,33000,1
15727311,0,35.0,65000,1
15570769,0,26.0,80000,1
15606274,0,26.0,52000,1
15746139,1,20.0,86000,0
15704987,1,32.0,18000,1
15628972,1,18.0,82000,0
15697686,1,29.0,80000,1
15733883,1,47.0,25000,2
15617482,1,45.0,26000,2
15704583,1,46.0,28000,2
15621083,0,48.0,29000,2
15649487,1,45.0,22000,2
15736760,0,47.0,49000,2
15714658,1,48.0,41000,2
15599081,0,45.0,22000,2
15705113,1,46.0,23000,2
15631159,1,47.0,20000,2
15792818,1,49.0,28000,2
15633531,0,47.0,30000,2
15744529,1,,43000,1
15669656,1,31.0,18000,1
15581198,1,31.0,74000,1
15729054,0,17.0,137000,0
15573452,0,21.0,16000,1
15776733,0,28.0,44000,1
15724858,1,17.0,90000,0
15713144,1,35.0,27000,1
15690188,0,33.0,28000,1
15689425,1,30.0,49000,1
15671766,0,,72000,1
15782806,0,17.0,31000,0
15764419,0,16.0,17000,0
15591915,0,,51000,1
15772798,1,35.0,108000,1
15792008,1,30.0,15000,1
15715541,0,28.0,84000,1
15639277,1,20.0,20000,0
15798850,1,25.0,79000,1
15776348,0,27.0,54000,1
15727696,1,30.0,135000,1
15793813,0,31.0,89000,1
15694395,0,15.0,32000,0
15764195,0,18.0,44000,0
15744919,0,29.0,83000,1
15671655,0,35.0,23000,1
15654901,0,27.0,58000,1
15649136,0,24.0,55000,1
15775562,0,,48000,1
15807481,1,28.0,79000,1
15642885,1,22.0,18000,1
15789109,0,32.0,117000,1
15814004,1,27.0,20000,1
15673619,1,25.0,87000,1
15595135,0,23.0,66000,1
15583681,1,32.0,120000,1
15605000,0,59.0,83000,2
15718071,1,24.0,58000,1
15679760,1,24.0,19000,1
15654574,0,23.0,82000,1
15577178,0,22.0,63000,1
15595324,0,31.0,68000,1
15756932,1,25.0,80000,1
15726358,0,24.0,27000,1
15595228,0,20.0,23000,0
15782530,0,33.0,113000,1
15592877,1,32.0,18000,1
15651983,1,34.0,112000,1
15746737,1,18.0,52000,0
15774179,0,22.0,27000,1
15667265,0,28.0,87000,1
15655123,0,26.0,17000,1
15595917,1,30.0,80000,1
15668385,1,39.0,42000,1
15709476,1,20.0,49000,0
15711218,1,35.0,88000,1
15798659,0,30.0,62000,1
15663939,0,31.0,118000,1
15694946,1,24.0,55000,1
